 lat, long
33.7865,-84.4454
35.2404,-80.9017
35.2404,-80.9017
39.5129,-76.9095
39.5129,-76.9095
39.5129,-76.9095
39.5129,-76.9095
39.5129,-76.9095
40.6812,-73.4305
40.7557,-73.5723
42.0511,-72.7706
42.0718,-72.6751
42.0718,-72.6751
42.0853,-72.5584
42.1267,-75.9685
42.1421,-73.7574
42.1476,-75.9001
42.1476,-75.9001
42.1476,-75.9001
42.1476,-75.9001
42.1974,-73.5107
42.2276,-73.8985
42.2658,-73.7635
42.2658,-73.7635
42.4108,-74.4003
42.4636,-73.2532
42.4636,-73.2532
42.4754,-73.822
42.4759,-73.3773
42.4759,-73.3773
42.4759,-73.3773
42.4759,-73.3773
42.5352,-73.4984
42.5376,-73.7071
42.5486,-73.8129
42.5487,-73.374
42.555,-73.9237
42.5637,-74.3292
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5951,-73.6826
42.5982,-73.7083
42.5982,-73.7083
42.5982,-73.7083
42.5982,-73.7083
42.5982,-73.7083
42.5982,-73.7083
42.5982,-73.7083
42.5982,-73.7083
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.638,-73.6109
42.6485,-73.8711
42.656,-73.7964
42.6683,-73.7744
42.6829,-73.7785
42.6878,-73.6383
42.6878,-73.6383
42.6878,-73.6383
42.6878,-73.6383
42.6879,-73.7992
42.6879,-73.7991
42.7,-73.76
42.7003,-73.8575
42.7063,-74.0193
42.7063,-74.0193
42.7198,-73.8207
42.7198,-73.8207
42.728,-73.692
42.7287,-73.6683
42.7287,-73.6683
42.7287,-73.6683
42.7322,-73.8496
42.7462,-73.763
42.7462,-73.763
42.7462,-73.763
42.7462,-73.763
42.7462,-73.763
42.7462,-73.763
42.7596,-73.8985
42.7629,-73.7861
42.7754,-73.7124
42.7754,-73.7124
42.7778,-73.749
42.7823,-73.9448
42.7829,-73.6648
42.7829,-73.6648
42.7904,-73.9809
42.7904,-73.9809
42.8048,-73.869
42.8051,-73.9512
